expert_label,link_strength,source_cluster,source_modern,found_name,found_normalized,source_book,matched_clusters,reasoning
true_synonym,1.0,"Spodio","Spodium","pompholige","pompholige",ricettario_fiorentino_1597,"","The Ricettario explicitly equates Spodio with pompholige ('ò la pompholige'). Both refer to metallic oxides collected fr"
true_synonym,1.0,"Spodio","Spodium","tuzia de gli Speziali","tuzia de gli Speziali",ricettario_fiorentino_1597,"","Tuzia (tutty/tutia) is the Italian apothecary term for zinc oxide; explicitly listed as equivalent to Spodio and pomphol"
contested_identity,0.7,"Spodio","Spodium","Tabaxir","Tabaxir",ricettario_fiorentino_1597,"tabaschir; Tabaco","The Ricettario equates Tabaxir with Spodio ('il vero Spodio detto la Tabaxir'); but this identification was actively deb"
contested_identity,0.7,"tabaschir","Tabasheer","pompholige","Pompholix",ricettario_fiorentino_1597,"pompholix","Found alongside tabaschir/Tabaxir in the Ricettario. The conflation of pompholige (zinc oxide) with tabaxir (bamboo suga"
contested_identity,0.7,"tabaschir","Tabasheer","Spodio","Spodium",ricettario_fiorentino_1597,"Spodio","Spodio linked to tabaschir cluster via the Ricettario's explicit equation. Whether spodium = tabasheer was a live questi"
true_synonym,1.0,"bórax","Borax","crísocola","Chrysocolla",coloquios_da_orta_1563,"Crisocola","Orta identifies bórax with crísocola (chrysocolla). In early modern mineralogy these terms overlapped: both referred to "
cross_linguistic,0.9,"calamo aromático","Acorus Calamus","cassab","cassia",coloquios_da_orta_1563,"cássia","Orta records 'cassab' as the Arabic/local name for calamo aromático (sweet flag). This is a cross-linguistic naming link"
true_synonym,1.0,"Índia","India","Squinanto","Squinanth",ricettario_fiorentino_1597,"","The Ricettario glosses squinanto as 'fiore di giunco odorato' (flower of fragrant rush); linking it to the calamo aromát"
cross_linguistic,0.9,"Ciatica","Sciatica","Hip-gout","hip gout",english_physician_1652,"Gout","Culpeper's English vernacular 'Hip-gout' for Latin/medical 'Sciatica'. This is a translation synonym: the learned Latina"
contested_identity,0.7,"lepra","Leprosy","Elephantiacos","Elephantiasis",polyanthea_medicinal,"Elephantia","Semedo uses 'Elephantiacos' for lepers. In early modern medicine; elephantiasis and leprosy were sometimes conflated; so"
cross_linguistic,0.9,"fluxos","Fluxes","Plague in the Guts","dysentery",english_physician_1652,"dysenteria","Culpeper's vivid English folk term for dysentery (bloody flux). This is the kind of vernacular–medical equivalence that "
subtype_relation,0.5,"Oppio","Opium","Diacodio","Diacodium",polyanthea_medicinal,"diacodio","Diacodion is a specific opiate preparation (syrup of poppy heads); not a true synonym for opium. The Polyanthea links th"
cross_linguistic,0.9,"arábio","Aramaic","gariojilum","caryophyllon",coloquios_da_orta_1563,"gariofilo","Latin pharmaceutical term appearing in Orta alongside the Portuguese vernacular. Cross-script naming: gariofilo/gariojil"
contested_identity,0.7,"Turbit","Turbith","esula","Esula",coloquios_da_orta_1563,"esula","Orta discusses whether turbit and esula (spurge) are the same or related plants. This was a genuine botanical debate: tu"
cross_linguistic,0.9,"Zucchero","Sugar","tabaxir","tabashir",coloquios_da_orta_1563,"tabaschir; Tabaco","Orta explains that tabaxir is called 'sacarmambum' — sugar of bamboo. The sugar cluster connects to tabaxir through this"
subtype_relation,0.5,"cidra","Citron","emblicos","emblicos",coloquios_da_orta_1563,"Emblici","Emblic myrobalans (Phyllanthus emblica) are one of the five types of myrobalan in the Galenic–Arabic pharmaceutical syst"
ingredient_cooccurrence,0.0,"Canela","Cinnamon","calamo aromatico","calamo aromatico",ricettario_fiorentino_1597,"calamo aromático","Calamo aromatico appears alongside bolo armenio in a Ricettario compound recipe. They are NOT synonyms — they are separa"
cross_linguistic,0.9,"cozimento","Cooking","Ulmeiro","Elm",polyanthea_medicinal,"Olmo","Portuguese 'Ulmeiro' for Latin/Italian 'Olmo' (elm tree). Straightforward cross-linguistic naming — same tree; different"
true_synonym,1.0,"Boticarios","Apothecary","Litargirio","Litharge",polyanthea_medicinal,"Lithargyro","Semedo records 'Litargirio' as the apothecary term for litharge (lead monoxide). The concordance has a litharge cluster "
ingredient_cooccurrence,0.0,"Avicena","Avicenna","Zafferano","Saffron",ricettario_fiorentino_1597,"saffron","Italian 'Zafferano' for saffron; found in a Ricettario recipe context. Although this IS the Italian name for saffron; it"
cross_linguistic,0.9,"cor","Cordial","açafrão","açafrão",polyanthea_medicinal,"","Portuguese 'açafrão' for saffron; in Orta. Linked to Arabic al-za'faran → Portuguese açafrão → Italian zafferano. Classi"
ingredient_cooccurrence,0.0,"Canela","Cinnamon","gengiouo","gengiouo",ricettario_fiorentino_1597,"","Italian 'Gengiouo' (OCR for Gengiovo/Gengibre) — ginger in a Ricettario recipe. Although this IS the Italian name for gi"
ingredient_cooccurrence,0.0,"Galen","Galen","Gherofani","Cloves",ricettario_fiorentino_1597,"","Italian 'Gherofani' (garofani; cloves) in a Ricettario recipe. From Arabic qaranful. Appears as an ingredient in a formu"
ingredient_cooccurrence,0.0,"Canela","Cinnamon","cinnamomo","cinnamomo",ricettario_fiorentino_1597,"Canela","Italian/Latin 'Cinnamomo' for cinnamon in a Ricettario recipe. Although this IS the Latinate form for Portuguese 'Canela"
cross_linguistic,0.9,"Rasis","Rhazes","Benzacaria","Rhazes",coloquios_da_orta_1563,"Rasis","Orta records that Rasis is 'chamão Benzacaria' — the Arabic name (Abu Bakr al-Razi; Latinized as Rhazes; but called Benz"
ingredient_cooccurrence,0.0,"Ambar","Ambergris","Mulco","Musk",ricettario_fiorentino_1597,"Almiſcar; almisque; musk","OCR-corrupted form of 'Musco/Muschio' (musk) in a Ricettario recipe. From Arabic misk → Italian muschio → OCR 'Mulco'. A"
ingredient_cooccurrence,0.0,"Canela","Cinnamon","Muko","Muko",ricettario_fiorentino_1597,"Almiſcar","OCR-corrupted musk variant 'Muko' for Musco in a Ricettario recipe. Appears as an ingredient in a formula context; not i"
ingredient_cooccurrence,0.0,"Canela","Cinnamon","Turbithi","Turpeth",ricettario_fiorentino_1597,"turibitti; Turbit","Aloe and turbit appear together in a purgative pill recipe in the Ricettario. They are separate purgative ingredients; N"
ingredient_cooccurrence,0.0,"Canela","Cinnamon","Colocynthida","Colocynth",ricettario_fiorentino_1597,"Coloquintida","Aloe and colocynth (bitter apple) in a purgative compound. Both are purgatives used together; not names for the same sub"
ingredient_cooccurrence,0.0,"Agarico","Agaric","epithymo","Calamintha nepeta",ricettario_fiorentino_1597,"epithimo","Aloe and epithymum (dodder) in a compound recipe. Epithymum was used alongside aloe in melancholy-treating formulas. Co-"
ingredient_cooccurrence,0.0,"Agarico","Agaric","Polypodio","Polypodium vulgare",ricettario_fiorentino_1597,"Polipodio","Aloe and polypody in a compound recipe. Polypody was a common laxative fern included alongside aloe in formulas. NOT a s"
ingredient_cooccurrence,0.0,"Seme d'Appio","Celery seed","prezzemolo","parsley",ricettario_fiorentino_1597,"Petrofellino","The Ricettario mentions 'Seme d'Appio' with 'cioè prezzemolo' in a recipe context. Although 'cioè' usually signals equiv"
ingredient_cooccurrence,0.0,"epithimo","Cuscuta epithymum","Anici","Anise",ricettario_fiorentino_1597,"aniurui; Anici","Anise appears alongside many other seeds in Ricettario formulas. Ingredient co-occurrence; not a synonym for anything."
ingredient_cooccurrence,0.0,"Zucchero","Sugar","Mele","honey",ricettario_fiorentino_1597,"mel; honey","Sugar and honey appear together constantly in the Ricettario as alternative sweeteners ('con zucchero; o mele'). They ar"
ingredient_cooccurrence,0.0,"olio","oil","Oleum Iri∣num","Oleum irinum",english_physician_1652,"OLIO IRINO DI","Culpeper lists 'Oleum Irinum' (orris oil) alongside other oils. This is a specific named oil; not a synonym for generic "
ingredient_cooccurrence,0.0,"galanga","Galangal","Nardo indica","Indian nard",ricettario_fiorentino_1597,"","Galanga and spikenard listed in a Ricettario compound formula (DIAGALANCA). These are different spices used together; no"
ingredient_cooccurrence,0.0,"Ambar","Ambergris","Cardamomo mag.","Cardamom",ricettario_fiorentino_1597,"alforvas","Galanga and greater cardamom in the same compound formula. Different spices. The Ricettario's recipe structure generates"
authority_cooccurrence,0.0,"Galen","Galen","Avicena","Avicenna",coloquios_da_orta_1563,"Avicena","Galen and Avicenna cited together in Orta. Standard authority pairing in early modern medical writing — these authors ar"
authority_cooccurrence,0.0,"Galen","Galen","Dioscorides","Dioscorides",coloquios_da_orta_1563,"Dioscorides","Galen and Dioscorides cited together. The 'big three' of ancient medicine (Hippocrates; Galen; Dioscorides) appear toget"
authority_cooccurrence,0.0,"Galen","Galen","Serapião","Serapion the Younger",coloquios_da_orta_1563,"Serapio","Galen and Serapion cited together. The medieval Arabic authority is routinely cited alongside Greek ones in early modern"
authority_cooccurrence,0.0,"Dioscorides","Dioscorides","Galeno","Galen",coloquios_da_orta_1563,"Galen","Dioscorides and Galen cited together. Standard authority pairing — these authority citation links are real but low novel"
ocr_noise,0.0,"Galen","Galen","LO CE HI»","Loch",ricettario_fiorentino_1597,"","OCR garbage from the Ricettario. Supposed to read 'LOCHI' (lozenges/loch); but the OCR fragmentation makes it look like "
ocr_noise,0.0,"Galen","Galen","EciPECapi","Ecipe",ricettario_fiorentino_1597,"","Heavily OCR-corrupted text from the Ricettario. Not a real entity name — this is noise that should be filtered out."
ocr_noise,0.0,"pedras","Calculus (medicine)","feru^egi","feru^egi",coloquios_da_orta_1563,"","OCR artifact with caret character. Not parseable as any real entity."
cross_linguistic,0.9,"Coloquintida","Colocynth","Sale","Salt",ricettario_fiorentino_1597,"","Italian 'Sale' (salt). Salt is a genuine entity in early modern natural knowledge — a key substance in Paracelsian chemi"
generic_term,0.0,"Zucchero","Sugar","lattouaro","confection",ricettario_fiorentino_1597,"","Italian for 'electuary' (a pharmaceutical preparation form). This is a dosage form; not a specific substance. Extracting"
ingredient_cooccurrence,0.0,"Turbit","Turbith","Mirabolani citrini","Citrine Myrobalans",ricettario_fiorentino_1597,"","Citrine myrobalans in a Ricettario recipe context. Although this IS a specific myrobalan subtype (Terminalia citrina); i"
subtype_relation,0.5,"Dioscorides","Dioscorides","Cheboli","Cheboli",ricettario_fiorentino_1597,"","Chebulic myrobalans (Terminalia chebula). OCR variant of 'Chebuli'. Subtypes like this are important for the concordance"
ingredient_cooccurrence,0.0,"Emblici","Emblic myrobalan","Bcllirici","Beleric myrobalans",ricettario_fiorentino_1597,"","Beleric myrobalans (OCR-corrupted) in a Ricettario recipe. Despite being a specific myrobalan subtype; it appears as an "
cross_linguistic,0.9,"cidra","Citron","gotim","gotim",coloquios_da_orta_1563,"Indi","Orta records 'gotim' as the Malayalam/local Indian name for beleric myrobalans. This is exactly the kind of deep cross-l"
cross_linguistic,0.9,"Loureyro","Laurel","quebulos","khebulos",coloquios_da_orta_1563,"","Orta's Portuguese rendering of the Arabic 'kabuli' for chebulic myrobalans. Arabic → Portuguese phonetic adaptation."
true_synonym,1.0,"Galen","Galen","calamo yngoentarío","calamus aromaticus",coloquios_da_orta_1563,"","Galen and Hippocrates' term for calamus aromaticus (sweet flag). Orta records this as 'calamo yngoentarío' — calamus of "
true_synonym,1.0,"Galen","Galen","calamo arábio","calamus arabicus",coloquios_da_orta_1563,"","Plutarch's term for the Arabian variety of calamus. Geographic qualifier distinguishing the Arabian source from the Alex"
true_synonym,1.0,"Galen","Galen","calamo ale- xandrino","calamus alexandrinus",coloquios_da_orta_1563,"","Celsus's term for Alexandrian calamus. OCR has broken the word across a line ('ale- xandrino'). Three classical authorit"
true_synonym,1.0,"Galen","Galen","mtrtus sihestris","myrtus sylvestris",coloquios_da_orta_1563,"","OCR-corrupted 'myrtus sylvestris' (wild myrtle). Orta via Serapion says 'what the Mauritanians call cubebas is Dioscorid"
true_synonym,1.0,"Galen","Galen","mirto agreste","myrtle agreste",coloquios_da_orta_1563,"","Italian 'mirto agreste' (wild myrtle) — the vernacular Italian translation of Latin 'myrtus sylvestris'. Same identifica"
ingredient_cooccurrence,0.0,"Galen","Galen","AS- fetida","Asafoetida",ricettario_fiorentino_1597,"","OCR-broken 'Asafetida' in a Ricettario recipe. From Persian aza + Latin foetida. Appears as an ingredient in a formula c"
ingredient_cooccurrence,0.0,"Galen","Galen","mandragora","Mandrake",ricettario_fiorentino_1597,"","Latin 'mandragora' in a Ricettario recipe. Although a cross-linguistic plant name; it appears as an ingredient in a form"
ingredient_cooccurrence,0.0,"Galen","Galen","So Bengiu","Benzoin",ricettario_fiorentino_1597,"","OCR-corrupted 'Sto Bengiui' (benzoin resin) in a Ricettario recipe. From Arabic luban jawi → Italian bengiui → OCR 'Beng"
ingredient_cooccurrence,0.0,"Galen","Galen","lapis LazzoU","Lapis Lazuli",ricettario_fiorentino_1597,"","OCR-corrupted 'lapis Lazzoli' (lapis lazuli) in a Ricettario recipe. Appears as an ingredient in a formula context; not "
cross_linguistic,0.9,"dores","Pain","Sciatica","Sciatica",english_physician_1652,"Ciatica","Latin 'Sciatica' linked to English 'Hip-gout' in Culpeper. The Latinate medical term and the vernacular English term coe"
cross_linguistic,0.9,"lepra","Leprosy","sarna","scabies",historia_medicinal_monardes_1574,"Scab","Spanish 'sarna' (scabies/mange) in Monardes; linked to lepra discussion. The relationship between sarna; lepra; and elep"
true_synonym,1.0,"Swellings","swellings","Noli me Tangere","Noli me tangere",english_physician_1652,"Noli me Tangere","Latin medical term ('touch me not') for a spreading facial ulcer; in Culpeper. A vivid metaphorical name that functioned"
true_synonym,1.0,"agua","Water","Polipus","Polypus",english_physician_1652,"Polypo","Latin 'Polipus' (nasal polyps) in Culpeper. Named by analogy with the sea creature — polyps that grip the nasal passages"
cross_linguistic,0.9,"verde","Green","Tenasmus","tenesmus",english_physician_1652,"Teneſmo","Culpeper's English spelling of Greek 'tenesmus'. Minimal adaptation: Greek teinesmos → Latin tenesmus → English Tenasmus"
cross_linguistic,0.9,"Índia","India","Spodio","Spodium",ricettario_fiorentino_1597,"Spodio","The Ricettario's Spodio entry mentions 'venuto da Goa dell'Indie orientali' — Spodio 'coming from Goa in the East Indies"
cross_linguistic,0.9,"Zucchero","Sugar","palhade Meca","palhade Meca",polyanthea_medicinal,"palhade Meca","Portuguese 'palha de Meca' (straw of Mecca) — a geographic naming pattern linking a substance to its trade origin. Commo"
contested_identity,0.7,"Tabaco","Tobacco","tabaxir","tabaxir",coloquios_da_orta_1563,"tabaschir; Tabaco","Tabaxir matched to both tabaschir (#248) AND Tabaco (#33) because the names share a prefix. But tabaco (Nicotiana) and t"
contested_identity,0.7,"Galen","Galen","licium","lycium",coloquios_da_orta_1563,"","Orta says 'cate is what Galen and Pliny and Dioscorides call licium'. Catechu (from Acacia catechu) was identified with "
subtype_relation,0.5,"Agarico","Agaric","zucchero","Sugar",ricettario_fiorentino_1597,"Zucchero; sucre","Honey and sugar appear as alternatives in Ricettario recipes ('con mele; o zucchero'). They are substitutable sweeteners"
ingredient_cooccurrence,0.0,"Galen","Galen","Antimonio","Antimony",ricettario_fiorentino_1597,"Terra santa","Antimonio appears in a Ricettario recipe/formula context. Although antimonio and estibio ARE genuine synonyms for the sa"
subtype_relation,0.5,"abeto","Fir","trementina","turpentine",ricettario_fiorentino_1597,"Trementina","Fir tree (abeto) linked to turpentine (trementina). This is a source→product relationship; not synonymy: turpentine is e"
cross_linguistic,0.9,"frutas","Fruit","cobras de capelo","hooded cobra",coloquios_da_orta_1563,"cobras","Portuguese 'cobras de capelo' (hooded snakes = cobras) in Orta. Vivid descriptive naming — 'snakes with hoods' — that be"
cross_linguistic,0.9,"Herb","herb","equiceto","Equisetum",polyanthea_medicinal,"","Latin 'equisetum' in Semedo; alongside Portuguese 'cavallinha' (little horse). Both are 'horse' metaphors for horsetail "
cross_linguistic,0.9,"Azedos","Sour","canje","congee",coloquios_da_orta_1563,"Canjas","Orta records 'canje' as the local name for rice water/gruel. From Tamil kanji. This is a Dravidian loanword entering Por"
